# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
טרבולין	TERBULIN	TERBUTALIN	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
טרבינאפין	TERBINAFINE	TERBINAFINE	מותר להתרים	טיפול בפטרת בעור וציפורניים
טרג'נטה	TRAJENTA	LINAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
טרגין	TARGIN	NALOXONE, OXYCODONE	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	טיפול בכאבים חזקים
טרגלודק	TREGLUDEC	INSULIN	אסור להתרים	טיפול בסוכרת
טרובדה	TRUVADA	EMTRICITABINE, TENOFOVIR	אסור להתרים במהלך הטיפול	לטיפול ומניעת איידס
טרוויקטה	TREVICTA	PALIPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
טרוזה	TERROSA	TERIPARATIDE	מותר להתרים, אם עברו 24 שעות לאחר הזריקה	טיפול באוסטאופורוזיס
טרוליסיטי	TRULICITY	DULAGLUTIDE	מותר להתרים אם סכרת מאוזנת ועברו 24 שעות לאחר הזרקה	טיפול בסכרת
טרוסמוליט	TROSMOLYT	TROSPIUM	מותר להתרים	טיפול בשלפוחית רגיזה ובריחת שתן
טרוספס	TROSPAS	TROSPIUM	מותר להתרים	טיפול בשלפוחית רגיזה ובריחת שתן
טרזודיל	TRAZODIL	TRAZODONE	מותר להתרים	טיפול בדיכאון וחרדה
טרזוסין	TERAZOSIN	TERAZOSIN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
טרזוסין	TERAZOSIN	TERAZOSIN	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
טריאנטין	TRIENTINE	TRIENTINE	אסור להתרים	טיפול במחלת וילסון
טריבמין	TRIBEMIN	VITAMIN B12, B6, B1	מותר להתרים	תוסף מזון
טריבמין	TRIBEMIN	VITAMIN B12, B6, B1	לפנות לבירור לסמכות רפואית	טיפול בנוירופטיה
טריטייס	TRITACE	RAMIPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
טריטייס	TRITACE	RAMIPRIL	אסור להתרים	טיפול בבעיות לב
טריל	TERIL	CARBAMAZEPINE	אסור להתרים	טיפול באפילפסיה/ סכרת תפלה
טריל	TERIL	CARBAMAZEPINE	מותר להתרים	טיפול בנוירלגיה טריג'מינל
טריל	TERIL	CARBAMAZEPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
טרילפטין	TRILEPTIN	OXCARBAZEPINE	אסור להתרים	טיפול באפילפסיה/התכווצויות
טריפלונומיד	TERIFLUNOMIDE	TERIFLUNOMIDE	אסור להתרים	טיפול בטרשת נפוצה
טריפראטייד	TERIPARATIDE	TERIPARATIDE	מותר להתרים, אם עברו 24 שעות לאחר הזריקה	טיפול באוסטאופורוזיס
טריקאן	TRICAN	FLUCONAZOLE	מותר להתרים	טיפול בפטרת בעור, ציפורניים ונרתיק
טרלג'י אליפטה	TRELEGY ELLIPTA	VILANTEROL, UMECLIDINIUM, FLUTICASONE	אסור להתרים	טיפול תומך בברונכיטיס כרונית/ COPD/אמפיזמה
טרמדקס	TRAMADEX	TRAMADOL	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	נגד כאבים
טרמל	TRAMAL	TRAMADOL	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	נגד כאבים
טרמפיה	TREMFYA	GUSELKUMAB	אסור להתרים	טיפול בפסוריאזיס קשה
טרנדייט	TRANDATE	LABETALOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
טרנקסל	TRANXAL	CLORAZEPATE	מותר להתרים	להרגעה
טרנקסל	TRANXAL	CLORAZEPATE	לפנות לסמכות רפואית	טיפול בבעיות נפשיות, גמילה מאלכוהול, התכווצויות
טרסנטאן	TRASENTAN	BOSENTAN	אסור להתרים	מחלות אוטואימוניות עם מעורבות ריאתית או כיבים בגפיים
טרקליר	TRACLEER	BOSENTAN	אסור להתרים	מחלות אוטואימוניות עם מעורבות ריאתית או כיבים בגפיים
יאז	YAZ	DROSPIRENONE, ETHYNILESTRADIOL	מותר להתרים	גלולות נגד כניסה להריון
יוטירוקס	EUTHYROX	LEVOTHYROXINE	מותר להתרים אם תיפקודי בלוטת התריס תקינים	טיפול בתת פעילות של בלוטת התריס
יומירה	HUMIRA	ADALIMUMAB	אסור להתרים	טיפול אימונוסופרסיבי
יוקריאס	EUCREAS	METFORMIN, VIDAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
יינטריב	YENTREVE	DULOXETINE	מותר להתרים אם אין עדות/חשד לדלקת	טיפול בבריחת שתן
יסמין	YASMIN	DROSPIRENONE, ETHYNILESTRADIOL	מותר להתרים	גלולות נגד כניסה להריון
כדורי ברזל	IRON TABLETS	FERROUS SULPHATE	מותר להתרים אם לא נלקח לתיקון אנמיה/חוסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
כולסטיד	COLESTID	COLESTIROL	מותר להתרים	טיפול בעודף כולסטרול בדם
לבו	LEVO	LEVOFLOXACIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
לבטיראצטם	LEVETIRACETAM	LEVETIRACETAM	אסור להתרים	טיפול באפילפסיה
לבמיר	LEVEMIR	INSULIN	אסור להתרים	טיפול בסכרת
לוותרים	LEVETRIM	LEVETIRACETAM	אסור להתרים	טיפול באפילפסיה
לוזפין	LOZAPINE	CLOZAPINE	מותר להתרים. יש לוודא שהתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
לוטן	LOTAN	LOSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
לוטן	LOTAN	LOSARTAN	אסור להתרים	טיפול בבעיות לב
לויטרה	LEVITRA	VARDENAFIL	מותר להתרים 12 שעות לאחר הטיפול	טיפול בהפרעות זקפה
לוסטרל	LUSTRAL	SERTRALINE	מותר להתרים	טיפול בדיכאון
לוסנטיס	LUCENTIS	RANIBIZUMAB	לפנות לסמכות רפואית	טיפול בבעיות עיניים שונות
לוסק	LOSEC	OMEPRAZOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה או תריסריון, רפלוקס
לוסרדקס	LOSARDEX	LOSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
לוסרדקס	LOSARDEX	LOSARTAN	אסור להתרים	טיפול בבעיות לב
לוסרטה פלוס	LOSARTA PLUS	HYDROCHLOROTHIAZIDE, LOSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
לוסרטה פלוס	LOSARTA PLUS	HYDROCHLOROTHIAZIDE, LOSARTAN	אסור להתרים	טיפול בבעיות לב
לופי-קאר	LOPI-CARE	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
לופמיד	LOPAMIDE	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
לופריד	LOPERID	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
לופרסור	LOPRESOR	METOPROLOL	אסור להתרים	טיפול בבעיות לב
לופרסור	LOPRESOR	METOPROLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
לורטדים	LORATADIM	LORATADINE	מותר להתרים	טיפול באלרגיה
לוריוון	LORIVAN	LORAZEPAM	מותר להתרים	טיפול בחרדה
לורמיד	LORAMIDE	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
לורסטין	LORASTINE	LORATADINE	מותר להתרים	טיפול באלרגיה
לורתרים	LORATRIM	LORATADINE	מותר להתרים	טיפול  באלרגיה
ליויאל	LIVIAL	TIBOLONE	מותר להתרים	טיפול הורמונלי
ליורזל	LIORESAL	BACLOFEN	לפנות לבירור לסמכות רפואית	טיפול בקשיון בשרירים (ספסטיות)
ליטורבה	LITORVA	ATORVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
ליפיטור	LIPITOR	ATORVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
ליפנור	LIPANOR	CIPROFIBRATE	מותר להתרים	טיפול בעודף כולסטרול בדם
ליקארביום	LICARBIUM	LITHIUM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ליקסומיה	LYXUMIA	LIXISENATIDE	מותר להתרים אם סכרת מאוזנת ועברו 24 שעות לאחר הזרקה	טיפול בסכרת
לירינל	LYRINEL	OXYBUTYNIN	מותר להתרים	טיפול בתסמינים של כיס שתן נוירוגני
ליריקה	LYRICA	PREGABALIN	לפנות לבירור לסמכות רפואית	טיפול בכאב נוירופטי
למוג'ין	LAMOGINE	LAMOTRIGINE	אסור להתרים	טיפול באפילפסיה
למוג'ין	LAMOGINE	LAMOTRIGINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
למודקס	LAMODEX	LAMOTRIGINE	אסור להתרים	טיפול באפילפסיה
למודקס	LAMODEX	LAMOTRIGINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
למוסין	LEMOCIN	CETRIMONIUM, LIDOCAINE, TYROTHRICIN	מותר להתרים לאחר החלמה	נגד כאבי גרון
למיקטל	LAMICTAL	LAMOTRIGINE	אסור להתרים	טיפול באפילפסיה
למיקטל	LAMICTAL	LAMOTRIGINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
לנטון	LANTON	LANSOPRAZOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה או תריסריון, רפלוקס
לנטוס	LANTUS	INSULIN ANALOG	אסור להתרים	טיפול בסכרת
לנסופרזול	LANSOPRAZOLE	LANSOPRAZOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה או תריסריון, רפלוקס
לפונקס	LEPONEX	CLOZAPINE	מותר להתרים. יש לוודא שהתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
לקוסמיד	LACOSAMIDE	LACOSAMIDE	אסור להתרים	טיפול באפילפסיה
לקסטיב מורכב	LAXATIVE COMPOUND	ALOE, ALOIN, BELLADONNA, IPECACUANHA, PHENOLPHTHALEIN	מותר להתרים	טיפול בעצירות
לקסעדין	LAXADIN	BISACODYL	מותר להתרים	טיפול בעצירות
מינירין	MINIRIN	DESMOPRESSIN	אסור להתרים	טיפול בסכרת תפלה
לרקאנידיפין	LERCANIDIPINE	LERCANIDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
לרקפרס	LERCAPRESS	LERCANIDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
לשיאה	LASEA	LAVENDER OIL	מותר להתרים	טיפול במצבי חרדה
מאלוקס	MAALOX	ALUMINIUM, MAGNESIUM	מותר להתרים	נגד צרבת
מגאקסין	MEGAXIN	MOXIFLOXACIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
מדיקינט	MEDIKINET	METHYLPHENIDATE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
מדרול	MEDROL	METHYLPREDNISOLONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
מודאל	MODAL	SULPIRIDE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
מווקס	MOVEX	BROMHEXINE	מותר להתרים לאחר החלמה	מכייח/טיפול בשיעול וליחה
מוטיליום	MOTILIUM	DOMPERIDONE	מותר להתרים לאחר סיום הטיפול והחלמה	טיפול סימפטומטי בבחילות והקאות
מולטאק	MULTAQ	DRONEDARONE	אסור להתרים	טיפול בבעיות לב
מונולונג	MONOLONG	ISOSORBIDE	אסור להתרים	טיפול במחלות לב
מונוקורד	MONOCORD	ISOSORBIDE	אסור להתרים	טיפול במחלות לב
מונורול	MONUROL	FOSFOMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
מונטאייר	MONTAIR	MONTELUKAST	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
מונטאייר	MONTAIR	MONTELUKAST	מותר להתרים	טיפול באלרגיה
מונטהלוקאסט	MONTELUKAST	MONTELUKAST	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
מוסקול	MUSCOL	ORPHENADRINE, PARACETAMOL	מותר להתרים	טיפול בכאבי שרירים
מוקולס	MUCOLESS	BROMHEXINE	מותר להתרים לאחר החלמה	מכייח/טיפול בשיעול וליחה
מוקסיויט	MOXYVIT	AMOXYCILLIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
מוקסיפן	MOXYPEN	AMOXYCILLIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
מזוונט	MEZAVANT	MESALAZINE	אסור להתרים	טיפול בקוליטיס כיבית
מטוג'קט	METOJECT	METHOTREXATE	אסור להתרים	טיפול במחלות ממאירות, אוטואימוניות ואחרות
מטפורמין	METFORMIN	METFORMIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
מיגרלב	MIGRALEVE	BUCLIZINE, CODEINE,PARACETAMOL	מותר להתרים אם ללא התקף ביום התרומה	למניעה וטיפול בהתקפי מיגרנה
מיזולן	MIZOLLENE	MIZOLASTINE	מותר להתרים	טיפול  באלרגיה
מיטרודרם	NITRODERM	NITROGLYCERINE	אסור להתרים	טיפול באנגינה פקטוריס (תעוקת חזה)
מייבנקלאד	MAVENCLAD	CLADRIBINE	אסור להתרים	טיפול בטרשת נפוצה
מילפוניד	MILFONIDE	BUDESONIDE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
מינולט	MINULET	GESTODENE, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
מינוציקלין	MINOCYCLINE	MINOCYCLINE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה, טיפול בדלקת זיהומית
מינוציקלין	MINOCYCLINE	MINOCYCLINE	ראה אקנה	טיפול באקנה
מינוקלין	MINOCLIN	MINOCYCLINE	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה, טיפול בדלקת זיהומית
מינוקלין	MINOCLIN	MINOCYCLINE	ראה אקנה	טיפול באקנה
מינירין	MINIRIN	DESMOPRESSIN	אסור להתרים	טיפול בסכרת תפלה
מינירין	MINIRIN	DESMOPRESSIN	מותר להתרים	טיפול בהרתבת לילה
מינס	MINESSE	GESTODENE, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
מיקובוטין	MYCOBUTIN	RIFABUTIN	אסור להתרים	טיפול בשחפת
מיקסטרד	MIXTARD	INSULIN	אסור להתרים	טיפול בסכרת
מיקרופירין	MICROPIRIN	ACETYL SALICYLIC ACID	בהתאם למחלה/מצב רפואי, לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	לדילול דם
מירו	MIRO	MIRTAZAPINE	מותר להתרים	טיפול בדיכאון
מירטאזאפין	MIRTAZAPINE	MIRTAZAPINE	מותר להתרים	טיפול בדיכאון
מכבימול	MACCABIMOL	PARACETAMOL	מותר להתרים	נגד כאבים
מכבימול	MACCABIMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
מלודיל	MELODIL	MAPROTILINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון וחרדה
מליאן	MELIANE	GESTODENE, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
מסוליד	MESULID	NIMESULIDE	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
מסטינון	MESTINON	PYRIDOSTIGMINE	אסור להתרים	טיפול במיאסטניה גרביס
מפרן	MEPRO	MEPROBAMATE	מותר להתרים	טיפול בחרדה  והפרעות שינה
מקסיבון	MAXIBONE	ALENDRONATE	מותר להתרים	טיפול באוסטאופורוזיס
מרוניל	MARONIL	CLOMIPRAMINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
מרסילון	MERCILON	ETHINYLESTRADIOL, DESOGESTREL	מותר להתרים	גלולות למניעת הריון
מרקפטיזול	MERCAPTIZOL	METHIMAZOLE	מותר להתרים אם תיפקודי בלוטת התריס תקינים	טיפול בפעילות יתר של בלוטת התריס
מתוטרקסאט	METHOTREXATE	METHOTREXATE	אסור להתרים	טיפול במחלות ממאירות, אוטואימוניות ואחרות
נאורונטין	NEURONTIN	GABAPENTIN	אסור להתרים	טיפול באפילפסיה
נאורונטין	NEURONTIN	GABAPENTIN	לפנות לבירור לסמכות רפואית	טיפול בכאב נוירופטי
נבוקו	NABUCO	NABUMETONE	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
נבידו	NEBIDO	TESTOSTERONE	מותר להתרים 24 שעות לאחר הזריקה	טיפול בחסר טסטוסטרון לגברים
נובומיקס	NOVOMIX	INSULIN	אסור להתרים	טיפול בסכרת
נובונורם	NOVONORM	REPAGLINIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
נובופם	NOVOFEM	ESTROGENE, NORETHISTERONE	מותר להתרים	טיפול הורמונלי בגיל המעבר (HRT)
נובורפיד	NOVORAPID	INSULIN	אסור להתרים	טיפול בסכרת
נוביג'יל	NUVIGIL	ARMODAFINIL	אסור להתרים	טיפול בנרקולפסיה
נוביטרופן	NOVITROPAN	OXYBUTYNIN	מותר להתרים	טיפול בתסמינים של כיס שתן נוירוגני
נובריל	NOVERIL	DIBENZEPIN	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
נודקסטה	NUEDEXTA	DEXTROMETHORPHAN, QUINIDINE	אסור להתרים	טיפול בבעיות נוירולוגיות
נוטנסיל	NOTENSYL	DICYCLOMINE	מותר להתרים	טיפול במעי רגיז
נוילפטיל	NEULEPTIL	PERICYAZINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
נוסידקס	NUSSIDEX	PSEUDOEPHEDRINE, DEXCHLORPHENIRAMINE	מותר להתרים	טיפול בנזלת
נוקטורנו	NOCTURNO	ZOPICLONE	מותר להתרים	טיפול בהפרעות שינה
נוקלה	NUCALA	MEPOLIZUMAB	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה), בתנאי שעברו 24 שעות לאחר הזריקה	טיפול באסטמה
נורווסק	NORVASC	AMLODIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
נורווסק	NORVASC	AMLODIPINE	אסור להתרים	טיפול בבעיות לב
נורופן	NUROFEN	IBUPROFEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
נורופן	NUROFEN	IBUPROFEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
נורופן	NUROFEN	IBUPROFEN	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
נורטילין	NORTYLIN	NORTRIPTYLIN	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
נוריט	NORIT	CHARCOAL	מותר להתרים	טיפול באי נוחות במע' העיכול
נוריט	NORIT	CHARCOAL	מותר להתרים 7 ימים לאחר החלמה	טיפול בשלשולים
נורליפ	NORLIP	BEZAFIBRATE	מותר להתרים	טיפול בעודף כולסטרול בדם
נורמופרסאן	NORMOPRESAN	CLONIDINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
נורמיטן	NORMITEN	ATENOLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
נורמיטן	NORMITEN	ATENOLOL	אסור להתרים	טיפול בבעיות לב
נורמלול	NORMALOL	ATENOLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
נורמלול	NORMALOL	ATENOLOL	אסור להתרים	טיפול בבעיות לב
נורפרולק	NORPROLAC	QUINAGOLIDE	יש לפנות לסמכות רפואית	טיפול בעודף פרולקטין בדם
ניאובלוק	NEOBLOC	METOPROLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
ניאובלוק	NEOBLOC	METOPROLOL	אסור להתרים	טיפול בבעיות לב
ניאובלוק	NEOBLOC	METOPROLOL	מותר להתרים	למניעת מיגרנה
ניאוטיגאזון	NEOTIGASON	ACITRETIN	מותר להתרים 3 שנים לאחר סיום הטיפול	טיפול בפסוריאזיס קשה
ניטרולינגואל ספריי	NITROLINGUAL SPRAY	GLYCERYL TRINITRATE	אסור להתרים	טיפול באנגינה פקטוריס (תעוקת חזה)
ניסטטין	NYSTATIN	NYSTATIN	מותר להתרים אם הפטרת בעור או בנרתיק בלבד	טיפול בפטרת
ניפדילונג	NIFEDILONG	NIFEDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
ניפדילונג	NIFEDILONG	NIFEDIPINE	אסור להתרים	טיפול בבעיות לב
ניפדיפין	NIFEDIPINE	NIFEDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
ניפדיפין	NIFEDIPINE	NIFEDIPINE	אסור להתרים	טיפול בבעיות לב
ניקוטינל מדבקה	NICOTINELL	NICOTINE	מותר להתרים	טיפול להפסקת עישון
נפרוקסן	NAPROXEN	NAPROXEN	מותר להתרים לאחר החלמה	נגד חום
נפרוקסן	NAPROXEN	NAPROXEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
נפרוקסן	NAPROXEN	NAPROXEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים
נקסיום	NEXIUM	ESOMEPRASOLE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה, רפלוקס, הליקובקטר
נקסין	NAXYN	NAPROXEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים
נקסין	NAXYN	NAPROXEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
נרוסין	NAROCIN	NAPROXEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים
נרוסין	NAROCIN	NAPROXEN	מותר להתרים לאחר החלמה	נגד חום
נרמיג	NARAMIG	NAROTRIPTAN	מותר להתרים אם ללא התקף ביום התרומה	טיפול בהתקפי מיגרנה
סאפריס	SAPHRIS	ASENAPINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
סאקסנדה	SAXENDA	LIRAGLUTIDE	מותר להתרים 24 שעות לאחר הזריקה	טיפול להרזיה
סברילן	SABRILAN	VIGABATRIN	אסור להתרים	טיפול באפילפסיה
סגלורומט	SEGLUROMET	METFORMIN, ERTUGLIFLOZIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
סדורל	SEDURAL	PHENAZOPYRIDINE	מותר להתרים אם אין עדות לדלקת	נגד פאבים ודחיפות במתן שתן
סובוטקס	SUBUTEX	BUPRENORPHINE	יש לפנות לסמכות רפואית	כאב, טיפול חלופי לתלות באופיאטים
סובוקסון	SUBOXONE	BUPRENORPHINE, NALOXONE	יש לפנות לסמכות רפואית	טיפול חלופי לתלות באופיאטים
סוויס רליף	SWISS RELIEF	DICLOFENAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	טיפול נגד כאבים
סוויס רליף	SWISS RELIEF	DICLOFENAC	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
סוטלול	SOTALOL	SOTALOL	אסור להתרים	טיפול בהפרעות קצב
סולבקס	SOLVEX	BROMHEXINE	מותר להתרים לאחר החלמה	מכייח/טיפול בשיעול וליחה
סולוקווה	SULIQUA	INSULIN	אסור להתרים	טיפול בסכרת
סוליאן	SOLIAN	AMISULPRIDE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
סוליפנאסין	SOLIFENACIN	SOLIFENACIN	מותר להתרים	טיפול בדחיפות במתן שתן
סומטרידקס	SUMATRIDEX	SUMATRIPTAN	מותר להתרים אם ללא התקף ביום התרומה	טיפול בהתקפי מיגרנה
סונגה נייט	SONGHA HIGHT	VALERIAN EXTR., MELISSA	מותר להתרים	טבליות להרגעה והפרעות שינה
סופרמול	SUPRAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
סופרמול	SUPRAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
סורבון	SORBON	BUSPIRONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול במצבי חרדה
סטאלבו	STALEVO	CARBIDOPA, LEVODOPA, ENTACAPONE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
סטגלוז'ן	STEGLUJAN	ERTUGLIFLOZIN, SITAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
סטגלטרו	STEGLATRO	ERTUGLIFLOZIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
סטונרון	STUNARONE	CINNARIZINE	מותר להתרים בהתאם למחלה/ מצב רפואי	טיפול בסחרחורות / מחלת מנייר
סטופיט	STOPIT	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
סטטור	STATOR	ROSUVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
סטילנןקס	STILNOX	ZOLPIDEM	מותר להתרים	טיפול בהפרעות שינה
סטלרה	STELARA	USTEKINUMAB	אסור להתרים	טיפול בפסוריאזיס קשה
סטרוקורט	STEROCORT	TRIAMCINOLONE	אסור להתרים במהלך הטיפול,לתרומות עתידיות לפנות לסמכות רפואית	טיפול במחלות אוטואימוניות, התקפי אסטמה/ אלרגיה
סטרטרה	STRATTERA	ATOMOXETINE	מותר להתרים	טיפול בהפרעות קשב וריכוז
סיאליס	CIALIS	TADALAFIL	מותר להתרים	הפרעות בזקפה
סיברי	SEEBRI	GLYCOPYRRONIUM	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
סיגניפור	SIGNIFOR	PASIREOTIDE	אסור להתרים	טיפול במחלת קושינג
סיטאגליפטין	SITAGLIPTIN	SITAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
סילדנאפיל	SILDENAFIL	SILDENAFIL	מותר להתרים 12 שעות לאחר הטיפול	הפרעות בזקפה
סילריל	CILARIL	CILAZAPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
