# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אטודולק	ETODOLAC	ETODOLAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אטודולק	ETODOLAC	ETODOLAC	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
אטוזט	ATOZET	ATORVASTATIN, EZETIMIBE	מותר להתרים	טיפול בעודף כולסטרול בדם
אטומיק	ATOMIC	ATOMOXETINE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
אטופן	ETOPAN	ETODOLAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אטופן	ETOPAN	ETODOLAC	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
אטורבה - דקס	ATORVA-DEX	ATORVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
אטורבסטאטין	ATORVASTATIN	ATORVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
אטוריקוקסיב	ETORICOXIB	ETORICOXIB	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אטוריקוקסיב	ETORICOXIB	ETORICOXIB	אסור להתרים	טיפול בדלקת פרקים פעילה
אטנט	ATTENT	AMPHETAMINE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
אטנט	ATTENT	AMPHETAMINE	אסור להתרים	טיפול בנרקולפסיה
אטרובנט	ATROVENT	IPRATROPIUM	מותר להתרים בהתאם להנחיות רפואיות לאסטמה	טיפול באסטמה
איבופן	IBUFEN	IBUPROFEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
איבופן	IBUFEN	IBUPROFEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
איבופרופן	IBUPROFEN	IBUPROFEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
איבופרופן	IBUPROFEN	IBUPROFEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
איבופרופן	IBUPROFEN	IBUPROFEN	מותר להתרים לאחר החלמה	נגד חום
איבניטי	EVENITY	ROMOSOZUMAB	מותר להתרים	טיפול באוסטאופורוזיס
איזילקס	EASYLAX	PHENOLPHTALEINE	מותר להתרים	נגד עצירות
איטרנול	ITRANOL	ITRACONAZOLE	מותר להתרים	טיפול בפטרת בעור וציפורניים
איימוביג	AIMOVIG	ERENUMAB	מותר להתרים אם ללא כאבי ראש ביום התרומה ועברו 24 שעות ממועד הזריקה	טיפול במיגרנה
