מאלי	Mali	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
מדגסקר	Madagascar	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים עפ"י אזורים.	אין סיכון בעיר הבירה Antananarivo.
מדיירה	Madeira	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
מוזמביק	Mozambique	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
מונסראט	Montserrat	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
מזרח טימור	East Timor	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
מיוט	Mayotte	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
מינאמר (בורמה)	Myanmar	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
מיקרונזיה	Micronesia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
מלזיה	Malaysia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
מלזיה	Malaysia	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון באזורים כפריים ומיוערים.
מקסיקו	Mexico	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
מקסיקו	Mexico	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון ב Campeche, Chiapas ובחלק הדרומי של Chihuahua. אין סיכון לאורך גבול ארה"ב-מקסיקו.
מרטיניק	Martinique	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ניג'ר	Niger	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
ניגריה	Nigeria	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
ניקרגואה	Nicaragua	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ניקרגואה	Nicaragua	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון ב Región Autónoma Atlántico Norte (RAAN) ו- Región Autónoma Atlántico Sur (RAAS). אין סיכון בעיר Managua.
נמיביה	Namibia	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
נמיביה	Namibia	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון באזורים Kavango (מזרח ומערב), Kunene, Ohangwena, Omaheke, Omusati, Oshana, Oshikoto, Otjozunjupa, and Zambezi. אין סיכון בעיר Windhoek.
נפאל	Nepal	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
נפאל	Nepal	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בפרובנציות Sudurpashchim ו- Karnali באזורים מתחת ל 2000m. אין סיכון בעיר Kathmandu, Pokhara ובמסלולי טרקים טיפוסיים באזור ההימליה.
סאבא	Saba	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
סאו טומה ופרינסיפה	Sao Tome and Principe	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
סודן	Sudan	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
סווזילנד	Swaziland	מלריה	ביקור - דחייה ל 12 חודשים. עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים. עפ"י אזורים.	סיכון באזורים מזרחיים הגובלים במוזמביק ובדרום אפריקה, כולל כל מחוז Lubombo והחצי המזרחי של המחוזות Hhohho, Manzini, ו- Shiselweni.
סומליה	Somalia	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
סורינאם	Suriname	איידס	ביקור/שהייה - דחייה ל-12 חודשים	
